respondent_id,date,overall_satisfaction,product_quality,customer_service,would_recommend,improvement_suggestions,product_category,region
CS_0073,2024-12-30,5,5,5,yes,Keep up the good work,Home,North America
CS_0074,2024-04-14,3,4,2,yes,Keep up the good work,Electronics,North America
CS_0075,2024-01-21,3,3,3,yes,Keep up the good work,Home,North America
CS_0076,2024-09-19,3,3,2,yes,Keep up the good work,Fashion,Latin America
CS_0077,2024-07-06,5,4,4,yes,Keep up the good work,Home,Latin America
CS_0078,2024-01-06,5,5,4,yes,Keep up the good work,Electronics,North America
CS_0079,2024-02-01,5,5,5,yes,Keep up the good work,Home,North America
CS_0080,2024-01-28,5,5,5,yes,Keep up the good work,Software,Latin America
CS_0081,2024-07-19,4,3,3,yes,Keep up the good work,Software,Asia Pacific
CS_0082,2024-08-20,3,2,4,yes,Keep up the good work,Fashion,North America
CS_0083,2024-09-23,2,2,1,no,Make it cheaper,Home,North America
CS_0084,2024-08-31,4,3,4,yes,Keep up the good work,Software,Europe
CS_0085,2024-12-21,4,5,3,yes,Keep up the good work,Electronics,Latin America
CS_0086,2024-08-22,2,1,2,no,Make it cheaper,Home,Latin America
CS_0087,2024-06-27,5,5,5,yes,Keep up the good work,Fashion,North America
CS_0088,2024-03-10,3,4,2,yes,Keep up the good work,Fashion,Asia Pacific
CS_0089,2024-02-13,4,4,5,yes,Keep up the good work,Home,Asia Pacific
CS_0090,2024-08-28,2,3,3,no,Make it cheaper,Software,Latin America
CS_0091,2024-09-01,5,5,5,yes,Keep up the good work,Home,Asia Pacific
CS_0092,2024-08-10,5,4,4,yes,Keep up the good work,Electronics,Asia Pacific
CS_0093,2024-07-04,5,5,5,yes,Keep up the good work,Home,North America
CS_0094,2024-11-10,5,5,4,yes,Keep up the good work,Fashion,Europe
CS_0095,2024-02-17,3,3,2,yes,Keep up the good work,Electronics,Asia Pacific
CS_0096,2024-03-24,4,5,5,yes,Keep up the good work,Fashion,Latin America
CS_0097,2024-12-05,4,5,5,yes,Keep up the good work,Electronics,North America
CS_0098,2024-12-22,5,5,4,yes,Keep up the good work,Electronics,Europe
CS_0099,2024-09-16,5,4,5,yes,Keep up the good work,Fashion,Europe
CS_0100,2024-06-13,3,2,2,yes,Keep up the good work,Home,Latin America
CS_0101,2024-02-02,3,4,3,yes,Keep up the good work,Electronics,North America
CS_0102,2024-07-04,3,2,4,yes,Keep up the good work,Electronics,North America
CS_0103,2024-06-17,3,3,3,yes,Keep up the good work,Fashion,Latin America
CS_0104,2024-11-04,1,1,1,no,Make it cheaper,Software,Europe
CS_0105,2024-05-11,5,5,5,yes,Keep up the good work,Fashion,North America
CS_0106,2024-05-02,3,4,4,yes,Keep up the good work,Software,Europe
CS_0107,2024-06-14,4,3,5,yes,Keep up the good work,Electronics,Latin America
CS_0108,2024-08-31,2,1,2,no,Make it cheaper,Home,Asia Pacific
CS_0109,2024-12-04,5,5,5,yes,Keep up the good work,Electronics,Latin America
CS_0110,2024-12-19,5,5,5,yes,Keep up the good work,Fashion,Europe
CS_0111,2024-01-01,2,1,2,no,Make it cheaper,Electronics,North America
CS_0112,2024-04-16,4,4,5,yes,Keep up the good work,Fashion,Europe
CS_0113,2024-01-11,4,5,4,yes,Keep up the good work,Software,Asia Pacific
CS_0114,2024-04-09,3,3,2,yes,Keep up the good work,Software,Europe
CS_0115,2024-05-15,4,4,4,yes,Keep up the good work,Electronics,Latin America
CS_0116,2024-04-25,3,2,3,yes,Keep up the good work,Home,Latin America
CS_0117,2024-02-24,1,2,1,no,Make it cheaper,Fashion,North America
CS_0118,2024-02-28,3,4,4,yes,Keep up the good work,Home,North America
CS_0119,2024-08-10,5,5,5,yes,Keep up the good work,Software,Europe
CS_0120,2024-01-01,4,4,5,yes,Keep up the good work,Fashion,Europe
CS_0121,2024-01-23,4,4,4,yes,Keep up the good work,Software,Asia Pacific
CS_0122,2024-02-20,1,1,1,no,Make it cheaper,Electronics,Europe
CS_0123,2024-06-04,3,2,4,yes,Keep up the good work,Software,Europe
CS_0124,2024-10-25,5,5,4,yes,Keep up the good work,Home,North America
CS_0125,2024-09-03,1,1,1,no,Make it cheaper,Fashion,Europe
CS_0126,2024-02-16,1,2,1,no,Make it cheaper,Home,Latin America
CS_0127,2024-11-20,1,2,1,no,Make it cheaper,Fashion,Europe
CS_0128,2024-01-24,2,1,1,no,Make it cheaper,Fashion,North America
CS_0129,2024-07-11,5,5,4,yes,Keep up the good work,Software,North America
CS_0130,2024-06-04,1,1,1,no,Make it cheaper,Software,North America
CS_0131,2024-06-20,5,4,4,yes,Keep up the good work,Fashion,Europe
CS_0132,2024-10-17,4,3,5,yes,Keep up the good work,Electronics,North America
CS_0133,2024-12-19,4,4,4,yes,Keep up the good work,Home,Asia Pacific
CS_0134,2024-03-22,4,4,3,yes,Keep up the good work,Home,Latin America
CS_0135,2024-09-12,3,4,4,yes,Keep up the good work,Home,Asia Pacific
CS_0136,2024-01-18,4,4,3,yes,Keep up the good work,Home,Latin America
CS_0137,2024-02-19,1,1,1,no,Make it cheaper,Electronics,North America
CS_0138,2024-05-29,3,3,2,yes,Keep up the good work,Home,Europe
CS_0139,2024-02-22,5,5,4,yes,Keep up the good work,Home,Europe
CS_0140,2024-11-08,4,4,5,yes,Keep up the good work,Fashion,Asia Pacific
CS_0141,2024-04-05,1,1,2,no,Make it cheaper,Home,Asia Pacific
CS_0142,2024-06-03,5,5,4,yes,Keep up the good work,Fashion,North America
CS_0143,2024-03-29,5,5,5,yes,Keep up the good work,Electronics,Europe
CS_0144,2024-04-27,5,5,4,yes,Keep up the good work,Software,North America
CS_0145,2024-05-21,4,5,4,yes,Keep up the good work,Electronics,North America
CS_0146,2024-08-16,1,1,1,no,Make it cheaper,Home,Latin America
CS_0147,2024-11-17,3,2,2,yes,Keep up the good work,Software,Europe
CS_0148,2024-08-04,5,5,4,yes,Keep up the good work,Electronics,Europe
CS_0149,2024-04-15,2,1,2,no,Make it cheaper,Electronics,Europe
CS_0150,2024-09-01,3,4,2,yes,Keep up the good work,Electronics,Latin America
CS_0151,2024-12-29,3,3,3,yes,Keep up the good work,Software,Asia Pacific
CS_0152,2024-01-25,4,5,3,yes,Keep up the good work,Fashion,Asia Pacific
CS_0153,2024-02-02,3,3,3,yes,Keep up the good work,Fashion,Asia Pacific
CS_0154,2024-03-22,5,4,5,yes,Keep up the good work,Electronics,Latin America
CS_0155,2024-06-12,4,3,3,yes,Keep up the good work,Home,Latin America
CS_0156,2024-03-08,5,5,5,yes,Keep up the good work,Software,North America
CS_0157,2024-03-31,3,2,3,yes,Keep up the good work,Fashion,Europe
CS_0158,2024-05-17,1,1,1,no,Make it cheaper,Home,North America
CS_0159,2024-07-18,3,2,2,yes,Keep up the good work,Fashion,Europe
CS_0160,2024-03-21,3,2,2,yes,Keep up the good work,Fashion,Europe
CS_0161,2024-04-05,1,1,2,no,Make it cheaper,Fashion,Europe
CS_0162,2024-02-20,4,3,5,yes,Keep up the good work,Home,Latin America
CS_0163,2024-12-21,4,3,4,yes,Keep up the good work,Home,North America
CS_0164,2024-06-19,4,4,4,yes,Keep up the good work,Home,Asia Pacific
CS_0165,2024-06-21,5,4,5,yes,Keep up the good work,Electronics,North America
CS_0166,2024-11-25,1,1,2,no,Make it cheaper,Software,Europe
CS_0167,2024-10-16,4,3,3,yes,Keep up the good work,Electronics,Asia Pacific
CS_0168,2024-10-31,5,5,5,yes,Keep up the good work,Home,Asia Pacific
CS_0169,2024-02-27,4,3,5,yes,Keep up the good work,Software,Europe
CS_0170,2024-01-27,5,5,5,yes,Keep up the good work,Electronics,Latin America
CS_0171,2024-12-20,4,5,3,yes,Keep up the good work,Software,North America
CS_0172,2024-10-26,3,2,2,yes,Keep up the good work,Electronics,Asia Pacific
CS_0173,2024-12-23,4,4,3,yes,Keep up the good work,Home,Asia Pacific
CS_0174,2024-08-10,3,4,2,yes,Keep up the good work,Home,Latin America
CS_0175,2024-09-11,2,1,2,no,Make it cheaper,Home,Asia Pacific
CS_0176,2024-08-12,5,4,5,yes,Keep up the good work,Home,Asia Pacific
CS_0177,2024-06-07,2,1,2,no,Make it cheaper,Electronics,Europe
CS_0178,2024-09-29,5,5,5,yes,Keep up the good work,Software,Asia Pacific
CS_0179,2024-01-12,3,2,4,yes,Keep up the good work,Electronics,Asia Pacific
CS_0180,2024-10-19,5,4,5,yes,Keep up the good work,Home,Latin America
CS_0181,2024-07-13,5,5,5,yes,Keep up the good work,Software,Latin America
CS_0182,2024-02-04,5,5,5,yes,Keep up the good work,Home,Europe
CS_0183,2024-09-26,1,1,1,no,Make it cheaper,Electronics,North America
CS_0184,2024-08-08,2,2,1,no,Make it cheaper,Software,Europe
CS_0185,2024-03-02,3,4,4,yes,Keep up the good work,Home,Europe
CS_0186,2024-08-31,5,5,4,yes,Keep up the good work,Electronics,Europe
CS_0187,2024-09-01,3,2,4,yes,Keep up the good work,Software,Europe
CS_0188,2024-06-19,5,5,5,yes,Keep up the good work,Electronics,North America
CS_0189,2024-11-28,3,3,4,yes,Keep up the good work,Home,Europe
CS_0190,2024-07-02,3,3,3,yes,Keep up the good work,Fashion,Latin America
CS_0191,2024-09-04,4,4,5,yes,Keep up the good work,Fashion,Asia Pacific
CS_0192,2024-05-18,5,4,5,yes,Keep up the good work,Electronics,Europe
CS_0193,2024-10-22,4,4,5,yes,Keep up the good work,Software,Asia Pacific
CS_0194,2024-07-02,4,5,4,yes,Keep up the good work,Software,Latin America
CS_0195,2024-07-25,5,5,5,yes,Keep up the good work,Electronics,North America
CS_0196,2024-07-14,4,3,4,yes,Keep up the good work,Software,Europe
CS_0197,2024-06-05,3,3,3,yes,Keep up the good work,Fashion,North America
CS_0198,2024-08-18,4,5,5,yes,Keep up the good work,Electronics,Europe
CS_0199,2024-01-04,5,4,5,yes,Keep up the good work,Software,Europe
CS_0200,2024-07-27,5,5,5,yes,Keep up the good work,Fashion,North America
CS_0201,2024-12-07,4,4,3,yes,Keep up the good work,Electronics,North America
CS_0202,2024-06-17,1,1,1,no,Make it cheaper,Electronics,Asia Pacific
CS_0203,2024-12-29,5,5,4,yes,Keep up the good work,Electronics,Asia Pacific
CS_0204,2024-12-13,4,4,3,yes,Keep up the good work,Fashion,North America
CS_0205,2024-09-29,3,4,4,yes,Keep up the good work,Software,Asia Pacific
CS_0206,2024-07-26,5,4,5,yes,Keep up the good work,Software,North America
CS_0207,2024-01-09,5,5,5,yes,Keep up the good work,Software,Latin America
CS_0208,2024-03-25,4,4,3,yes,Keep up the good work,Electronics,Asia Pacific
CS_0209,2024-08-11,3,4,2,yes,Keep up the good work,Software,Latin America
CS_0210,2024-06-10,4,3,5,yes,Keep up the good work,Software,Europe
CS_0211,2024-12-12,1,2,1,no,Make it cheaper,Fashion,Asia Pacific
CS_0212,2024-11-22,2,1,1,no,Make it cheaper,Home,Latin America
CS_0213,2024-02-08,4,5,4,yes,Keep up the good work,Fashion,Europe
CS_0214,2024-04-02,3,2,4,yes,Keep up the good work,Fashion,North America
CS_0215,2024-08-16,3,2,3,yes,Keep up the good work,Software,Europe
CS_0216,2024-09-11,5,5,4,yes,Keep up the good work,Home,Asia Pacific
CS_0217,2024-10-01,1,1,1,no,Make it cheaper,Software,North America
CS_0218,2024-11-22,5,5,4,yes,Keep up the good work,Software,Asia Pacific
CS_0219,2024-01-06,3,2,2,yes,Keep up the good work,Software,Latin America
CS_0220,2024-02-12,5,5,5,yes,Keep up the good work,Fashion,North America
CS_0221,2024-07-11,3,3,3,yes,Keep up the good work,Fashion,North America
CS_0222,2024-08-05,2,1,3,no,Make it cheaper,Electronics,Latin America
CS_0223,2024-12-12,5,5,5,yes,Keep up the good work,Home,Asia Pacific
CS_0224,2024-01-09,4,5,3,yes,Keep up the good work,Software,Latin America
CS_0225,2024-07-17,4,4,5,yes,Keep up the good work,Fashion,North America
CS_0226,2024-08-29,2,3,2,no,Make it cheaper,Home,North America
CS_0227,2024-01-18,4,3,3,yes,Keep up the good work,Home,Asia Pacific
CS_0228,2024-01-23,4,5,4,yes,Keep up the good work,Software,North America
CS_0229,2024-08-05,5,5,5,yes,Keep up the good work,Home,Latin America
CS_0230,2024-08-31,4,4,5,yes,Keep up the good work,Fashion,North America
CS_0231,2024-01-06,5,4,4,yes,Keep up the good work,Home,Latin America
CS_0232,2024-06-16,4,5,4,yes,Keep up the good work,Electronics,Asia Pacific
CS_0233,2024-10-23,5,5,5,yes,Keep up the good work,Home,Latin America
CS_0234,2024-12-18,5,4,5,yes,Keep up the good work,Software,Latin America
CS_0235,2024-06-24,2,3,2,no,Make it cheaper,Home,Latin America
CS_0236,2024-02-03,4,4,3,yes,Keep up the good work,Electronics,Asia Pacific
CS_0237,2024-03-02,4,4,3,yes,Keep up the good work,Fashion,Europe
CS_0238,2024-01-07,1,1,1,no,Make it cheaper,Software,Asia Pacific
CS_0239,2024-02-21,4,4,3,yes,Keep up the good work,Fashion,North America
CS_0240,2024-07-13,5,4,4,yes,Keep up the good work,Software,Latin America
CS_0241,2024-06-20,1,1,2,no,Make it cheaper,Electronics,North America
CS_0242,2024-01-16,3,2,4,yes,Keep up the good work,Software,North America
CS_0243,2024-09-13,3,4,3,yes,Keep up the good work,Software,North America
CS_0244,2024-04-27,4,3,4,yes,Keep up the good work,Fashion,North America
CS_0245,2024-05-03,4,4,5,yes,Keep up the good work,Fashion,Latin America
CS_0246,2024-08-20,4,3,4,yes,Keep up the good work,Fashion,Asia Pacific
CS_0247,2024-02-04,3,3,4,yes,Keep up the good work,Fashion,North America
CS_0248,2024-10-12,5,5,5,yes,Keep up the good work,Software,Latin America
CS_0249,2024-01-29,5,5,4,yes,Keep up the good work,Electronics,Latin America
CS_0250,2024-02-28,5,5,5,yes,Keep up the good work,Electronics,Latin America
CS_0251,2024-07-04,2,3,2,no,Make it cheaper,Fashion,Latin America
CS_0252,2024-01-26,5,4,4,yes,Keep up the good work,Software,Latin America
CS_0253,2024-03-05,5,5,5,yes,Keep up the good work,Electronics,Latin America
CS_0254,2024-06-11,5,5,5,yes,Keep up the good work,Electronics,North America
CS_0255,2024-01-12,4,4,4,yes,Keep up the good work,Electronics,North America
CS_0256,2024-08-09,4,3,3,yes,Keep up the good work,Software,Asia Pacific
CS_0257,2024-10-10,4,5,4,yes,Keep up the good work,Home,North America
CS_0258,2024-09-01,4,5,5,yes,Keep up the good work,Electronics,North America
CS_0259,2024-10-23,5,4,4,yes,Keep up the good work,Home,North America
CS_0260,2024-10-15,3,2,2,yes,Keep up the good work,Software,Europe
CS_0261,2024-04-23,2,2,3,no,Make it cheaper,Electronics,Latin America
CS_0262,2024-05-20,4,4,3,yes,Keep up the good work,Electronics,Latin America
CS_0263,2024-02-14,4,4,3,yes,Keep up the good work,Home,North America
CS_0264,2024-03-27,4,5,3,yes,Keep up the good work,Fashion,Asia Pacific
CS_0265,2024-05-10,4,5,3,yes,Keep up the good work,Home,Europe
CS_0266,2024-08-29,1,1,1,no,Make it cheaper,Home,Latin America
CS_0267,2024-08-04,1,2,1,no,Make it cheaper,Electronics,Europe
CS_0268,2024-07-15,4,5,3,yes,Keep up the good work,Home,Europe
CS_0269,2024-01-15,4,4,3,yes,Keep up the good work,Software,Europe
CS_0270,2024-04-24,4,4,4,yes,Keep up the good work,Electronics,Latin America
CS_0271,2024-12-25,3,4,4,yes,Keep up the good work,Home,Asia Pacific
CS_0272,2024-03-20,2,2,2,no,Make it cheaper,Home,Latin America
CS_0273,2024-06-02,4,3,4,yes,Keep up the good work,Fashion,North America
CS_0274,2024-12-09,3,3,2,yes,Keep up the good work,Home,Latin America
CS_0275,2024-03-29,4,5,5,yes,Keep up the good work,Software,Asia Pacific
CS_0276,2024-04-14,4,5,4,yes,Keep up the good work,Fashion,Europe
CS_0277,2024-09-19,4,5,5,yes,Keep up the good work,Fashion,North America
CS_0278,2024-06-24,4,5,5,yes,Keep up the good work,Fashion,Europe
CS_0279,2024-06-22,5,5,5,yes,Keep up the good work,Electronics,Europe
CS_0280,2024-02-12,5,5,5,yes,Keep up the good work,Electronics,Asia Pacific
CS_0281,2024-12-17,5,5,5,yes,Keep up the good work,Home,North America
CS_0282,2024-06-17,5,5,4,yes,Keep up the good work,Fashion,North America
CS_0283,2024-07-08,2,2,3,no,Make it cheaper,Home,Europe
CS_0284,2024-11-10,2,3,2,no,Make it cheaper,Electronics,Europe
CS_0285,2024-03-07,1,1,1,no,Make it cheaper,Software,Latin America
CS_0286,2024-02-08,1,1,1,no,Make it cheaper,Home,Latin America
CS_0287,2024-06-04,2,3,1,no,Make it cheaper,Software,North America
CS_0288,2024-04-10,4,5,3,yes,Keep up the good work,Electronics,Latin America
CS_0289,2024-08-13,3,3,2,yes,Keep up the good work,Home,Latin America
CS_0290,2024-06-04,4,4,5,yes,Keep up the good work,Software,North America
CS_0291,2024-03-23,5,4,5,yes,Keep up the good work,Electronics,Asia Pacific
CS_0292,2024-12-12,4,3,3,yes,Keep up the good work,Home,Latin America
CS_0293,2024-12-18,3,4,2,yes,Keep up the good work,Software,Latin America
CS_0294,2024-01-07,3,4,3,yes,Keep up the good work,Electronics,North America
CS_0295,2024-09-06,2,3,3,no,Make it cheaper,Software,Europe
CS_0296,2024-10-19,1,1,2,no,Make it cheaper,Software,North America
CS_0297,2024-10-06,5,5,5,yes,Keep up the good work,Home,North America
CS_0298,2024-12-27,5,5,5,yes,Keep up the good work,Electronics,Asia Pacific
CS_0299,2024-06-11,3,2,3,yes,Keep up the good work,Home,North America
CS_0300,2024-07-02,3,4,3,yes,Keep up the good work,Electronics,Asia Pacific
CS_0301,2024-09-23,3,2,4,yes,Keep up the good work,Electronics,Europe
CS_0302,2024-12-04,2,2,3,no,Make it cheaper,Fashion,North America
CS_0303,2024-11-30,3,4,2,yes,Keep up the good work,Software,North America
CS_0304,2024-02-19,5,5,5,yes,Keep up the good work,Software,Europe
CS_0305,2024-06-24,4,5,4,yes,Keep up the good work,Software,Latin America
CS_0306,2024-04-15,4,5,3,yes,Keep up the good work,Fashion,Asia Pacific
CS_0307,2024-05-16,3,4,4,yes,Keep up the good work,Fashion,North America
CS_0308,2024-07-29,5,4,4,yes,Keep up the good work,Electronics,Asia Pacific
CS_0309,2024-09-11,4,5,4,yes,Keep up the good work,Fashion,North America
CS_0310,2024-12-16,3,3,4,yes,Keep up the good work,Home,Europe
CS_0311,2024-09-04,3,4,4,yes,Keep up the good work,Fashion,Latin America
CS_0312,2024-07-25,3,2,2,yes,Keep up the good work,Fashion,Asia Pacific
CS_0313,2024-01-08,3,4,4,yes,Keep up the good work,Electronics,Latin America
CS_0314,2024-03-19,3,3,4,yes,Keep up the good work,Software,North America
CS_0315,2024-02-21,4,4,5,yes,Keep up the good work,Electronics,Latin America
CS_0316,2024-01-08,5,5,5,yes,Keep up the good work,Home,Asia Pacific
CS_0317,2024-03-21,4,4,3,yes,Keep up the good work,Electronics,Asia Pacific
CS_0318,2024-05-16,4,3,3,yes,Keep up the good work,Fashion,Europe
CS_0319,2024-04-11,5,5,4,yes,Keep up the good work,Software,North America
CS_0320,2024-08-03,4,3,5,yes,Keep up the good work,Home,Asia Pacific
CS_0321,2024-05-30,5,5,5,yes,Keep up the good work,Fashion,Asia Pacific
CS_0322,2024-05-29,2,3,2,no,Make it cheaper,Home,Europe
CS_0323,2024-06-06,4,3,3,yes,Keep up the good work,Software,Latin America
CS_0324,2024-12-06,5,5,5,yes,Keep up the good work,Fashion,North America
CS_0325,2024-09-19,4,4,4,yes,Keep up the good work,Software,North America
CS_0326,2024-05-14,2,2,3,no,Make it cheaper,Software,Latin America
CS_0327,2024-12-16,4,5,3,yes,Keep up the good work,Electronics,Latin America
CS_0328,2024-07-07,4,3,4,yes,Keep up the good work,Electronics,Europe
CS_0329,2024-12-09,5,4,5,yes,Keep up the good work,Software,Europe
CS_0330,2024-01-28,2,1,1,no,Make it cheaper,Home,North America
CS_0331,2024-08-28,5,4,5,yes,Keep up the good work,Home,Europe
CS_0332,2024-12-21,4,4,5,yes,Keep up the good work,Home,Europe
CS_0333,2024-08-04,5,5,5,yes,Keep up the good work,Home,North America
CS_0334,2024-12-04,5,5,5,yes,Keep up the good work,Electronics,Latin America
CS_0335,2024-09-08,4,4,5,yes,Keep up the good work,Fashion,North America
CS_0336,2024-03-03,5,5,5,yes,Keep up the good work,Electronics,Latin America
CS_0337,2024-05-27,3,4,3,yes,Keep up the good work,Software,Europe
CS_0338,2024-09-26,1,1,1,no,Make it cheaper,Electronics,Latin America
CS_0339,2024-06-24,4,5,4,yes,Keep up the good work,Software,Latin America
CS_0340,2024-10-22,5,5,4,yes,Keep up the good work,Home,Latin America
CS_0341,2024-06-21,3,2,4,yes,Keep up the good work,Fashion,North America
CS_0342,2024-07-03,5,5,4,yes,Keep up the good work,Home,Europe
CS_0343,2024-04-01,5,5,5,yes,Keep up the good work,Software,Asia Pacific
CS_0344,2024-05-01,2,1,3,no,Make it cheaper,Electronics,North America
CS_0345,2024-08-07,4,5,4,yes,Keep up the good work,Home,Europe
CS_0346,2024-06-19,3,4,2,yes,Keep up the good work,Fashion,Asia Pacific
CS_0347,2024-03-21,5,5,5,yes,Keep up the good work,Software,Asia Pacific
CS_0348,2024-08-27,3,4,2,yes,Keep up the good work,Home,Europe
CS_0349,2024-09-09,5,5,5,yes,Keep up the good work,Fashion,Asia Pacific
CS_0350,2024-03-13,5,4,4,yes,Keep up the good work,Software,North America
CS_0351,2024-08-04,2,2,1,no,Make it cheaper,Software,Latin America
CS_0352,2024-12-05,3,3,2,yes,Keep up the good work,Home,Asia Pacific
CS_0353,2024-02-26,5,4,5,yes,Keep up the good work,Software,Latin America
CS_0354,2024-08-02,3,2,4,yes,Keep up the good work,Electronics,Asia Pacific
CS_0355,2024-04-20,5,4,4,yes,Keep up the good work,Home,Europe
CS_0356,2024-05-07,5,5,5,yes,Keep up the good work,Electronics,Asia Pacific
CS_0357,2024-07-06,5,5,4,yes,Keep up the good work,Electronics,North America
CS_0358,2024-08-04,3,3,2,yes,Keep up the good work,Electronics,Latin America
CS_0359,2024-07-01,3,2,2,yes,Keep up the good work,Fashion,Europe
