respondent_id,event_date,overall_rating,speaker_rating,venue_rating,most_valuable,least_valuable,attend_again,event_type
EV_0131,2024-10-12,3,4,4,Keynote,Venue location,no,Workshop
EV_0132,2024-06-08,5,4,4,Networking,Food,yes,Training
EV_0133,2024-07-09,5,5,4,Networking,Venue location,yes,Webinar
EV_0134,2024-02-15,4,3,4,Q&A session,Long breaks,yes,Webinar
EV_0135,2024-01-24,5,5,5,Networking,Venue location,yes,Webinar
EV_0136,2024-11-15,5,4,4,Networking,Long breaks,yes,Webinar
EV_0137,2024-07-29,3,4,4,Q&A session,Food,no,Workshop
EV_0138,2024-07-19,5,5,5,Q&A session,Food,yes,Webinar
EV_0139,2024-06-30,4,3,5,Q&A session,Long breaks,yes,Conference
EV_0140,2024-02-25,5,5,5,Q&A session,Venue location,yes,Conference
EV_0141,2024-01-16,5,4,5,Networking,Venue location,yes,Workshop
EV_0142,2024-01-24,4,4,5,Keynote,Venue location,yes,Webinar
EV_0143,2024-05-12,5,5,5,Networking,Venue location,yes,Webinar
EV_0144,2024-08-01,4,5,3,Keynote,Venue location,yes,Workshop
EV_0145,2024-03-18,4,3,4,Keynote,Venue location,yes,Webinar
EV_0146,2024-02-27,4,3,4,Keynote,Food,yes,Training
EV_0147,2024-08-27,5,4,4,Networking,Food,yes,Conference
EV_0148,2024-11-26,4,4,3,Keynote,Food,yes,Workshop
EV_0149,2024-09-05,5,4,5,Q&A session,Food,yes,Conference
EV_0150,2024-02-19,5,5,4,Keynote,Venue location,yes,Conference
EV_0151,2024-06-30,3,4,3,Keynote,Long breaks,no,Training
EV_0152,2024-12-17,5,4,5,Keynote,Food,yes,Training
EV_0153,2024-09-12,4,5,5,Q&A session,Food,yes,Webinar
EV_0154,2024-12-22,1,2,1,Networking,Food,no,Webinar
EV_0155,2024-12-30,4,5,5,Keynote,Long breaks,yes,Webinar
EV_0156,2024-03-04,1,2,2,Networking,Venue location,no,Webinar
EV_0157,2024-10-10,5,5,5,Networking,Long breaks,yes,Conference
EV_0158,2024-03-24,5,4,5,Q&A session,Food,yes,Webinar
EV_0159,2024-06-10,4,4,5,Networking,Food,yes,Webinar
EV_0160,2024-10-29,4,4,5,Networking,Food,yes,Webinar
EV_0161,2024-05-08,5,5,5,Q&A session,Venue location,yes,Workshop
EV_0162,2024-01-03,4,4,4,Keynote,Food,yes,Conference
EV_0163,2024-11-03,5,4,5,Q&A session,Venue location,yes,Conference
EV_0164,2024-04-15,5,5,5,Q&A session,Long breaks,yes,Webinar
EV_0165,2024-02-27,4,4,4,Keynote,Long breaks,yes,Training
EV_0166,2024-02-24,5,5,4,Keynote,Long breaks,yes,Webinar
EV_0167,2024-08-03,5,5,5,Keynote,Long breaks,yes,Webinar
EV_0168,2024-10-24,4,3,4,Networking,Venue location,yes,Webinar
EV_0169,2024-11-23,5,5,5,Keynote,Long breaks,yes,Training
EV_0170,2024-07-24,3,2,4,Keynote,Venue location,no,Training
EV_0171,2024-05-13,1,2,1,Keynote,Food,no,Workshop
EV_0172,2024-08-06,4,4,4,Networking,Long breaks,yes,Webinar
EV_0173,2024-06-14,5,5,5,Q&A session,Food,yes,Webinar
EV_0174,2024-08-20,5,5,5,Networking,Food,yes,Conference
EV_0175,2024-05-18,5,5,5,Networking,Long breaks,yes,Webinar
EV_0176,2024-11-26,4,4,5,Q&A session,Venue location,yes,Training
EV_0177,2024-06-22,4,4,5,Networking,Venue location,yes,Webinar
EV_0178,2024-10-01,2,3,2,Keynote,Food,no,Webinar
EV_0179,2024-05-23,2,3,1,Q&A session,Long breaks,no,Training
EV_0180,2024-11-02,4,3,3,Q&A session,Long breaks,yes,Conference
EV_0181,2024-08-31,5,4,4,Keynote,Food,yes,Training
EV_0182,2024-01-29,3,3,2,Networking,Long breaks,no,Webinar
EV_0183,2024-02-21,4,3,5,Q&A session,Long breaks,yes,Workshop
EV_0184,2024-10-06,3,2,4,Keynote,Long breaks,no,Workshop
EV_0185,2024-06-13,4,5,3,Q&A session,Food,yes,Workshop
EV_0186,2024-06-12,5,5,4,Keynote,Long breaks,yes,Webinar
EV_0187,2024-11-11,4,3,5,Keynote,Long breaks,yes,Conference
EV_0188,2024-07-31,4,4,5,Keynote,Long breaks,yes,Conference
EV_0189,2024-11-24,5,5,5,Keynote,Venue location,yes,Training
EV_0190,2024-09-05,4,5,3,Keynote,Food,yes,Training
EV_0191,2024-05-13,4,5,5,Keynote,Venue location,yes,Conference
EV_0192,2024-02-27,5,5,5,Networking,Food,yes,Training
EV_0193,2024-05-31,5,5,5,Q&A session,Venue location,yes,Webinar
EV_0194,2024-06-28,5,5,5,Q&A session,Long breaks,yes,Workshop
EV_0195,2024-03-01,2,2,2,Keynote,Food,no,Conference
EV_0196,2024-11-21,5,5,5,Q&A session,Venue location,yes,Workshop
EV_0197,2024-05-19,3,4,3,Keynote,Venue location,no,Training
EV_0198,2024-06-20,5,5,5,Networking,Food,yes,Training
EV_0199,2024-08-13,1,1,1,Keynote,Venue location,no,Conference
